tiimi,rasti,kellonaika,kokonaisaika,rastiaika,km,hms_per_km
1 vaunusauna.com,5V,7.11.2015 0:13,0:13:00,0:13:00,1.4 / 1.4,0:09:07
,3R,7.11.2015 0:18,0:18:39,0:05:39,0.9 / 2.3,0:06:35
,5S,7.11.2015 0:44,0:44:15,0:25:36,3.2 / 5.5,0:07:54
,9H,7.11.2015 0:56,0:56:16,0:12:01,1.2 / 6.7,0:09:48
,3C,7.11.2015 1:03,1:03:32,0:07:16,0.9 / 7.6,0:08:14
,7B,7.11.2015 1:15,1:15:49,0:12:17,2.0 / 9.6,0:06:08
,5A,7.11.2015 1:26,1:26:47,0:10:58,1.3 / 10.9,0:08:25
,5M,7.11.2015 1:39,1:39:07,0:12:20,2.5 / 13.4,0:04:54
,9A,7.11.2015 1:51,1:51:50,0:12:43,2.0 / 15.4,0:06:30
,5F,7.11.2015 2:00,2:00:25,0:08:35,1.3 / 16.7,0:06:48
,9F,7.11.2015 2:21,2:21:22,0:20:57,2.2 / 18.9,0:09:31
,7D,7.11.2015 2:35,2:35:06,0:13:44,1.8 / 20.6,0:07:49
,5W,7.11.2015 2:53,2:53:19,0:18:13,1.6 / 22.2,0:11:06
,2E,7.11.2015 2:58,2:58:55,0:05:36,1.1 / 23.3,0:05:17
,3L,7.11.2015 3:09,3:09:46,0:10:51,1.8 / 25.1,0:06:09
,3G,7.11.2015 3:15,3:15:48,0:06:02,0.7 / 25.8,0:08:22
,5D,7.11.2015 3:32,3:32:12,0:16:24,0.3 / 26.1,0:54:57
,2G,7.11.2015 3:35,3:35:22,0:03:10,0.5 / 26.6,0:06:37
,5O,7.11.2015 3:40,3:40:30,0:05:08,0.6 / 27.2,0:08:02
,5T,7.11.2015 3:47,3:47:02,0:06:32,0.7 / 27.9,0:08:50
,3F,7.11.2015 4:00,4:00:11,0:13:09,1.8 / 29.7,0:07:27
,2C,7.11.2015 4:06,4:06:09,0:05:58,0.7 / 30.4,0:08:09
,3A,7.11.2015 4:13,4:13:17,0:07:08,0.8 / 31.2,0:09:08
,5N,7.11.2015 4:18,4:18:34,0:05:17,0.9 / 32.1,0:06:00
,7C,7.11.2015 4:30,4:30:24,0:11:50,1.9 / 33.9,0:06:23
,9B,7.11.2015 4:58,4:58:01,0:27:37,1.6 / 35.6,0:16:47
,2H,7.11.2015 5:11,5:11:18,0:13:17,1.0 / 36.6,0:13:07
,3O,7.11.2015 5:25,5:25:19,0:14:01,0.8 / 37.4,0:16:52
,3H,7.11.2015 5:33,5:33:56,0:08:37,0.9 / 38.4,0:09:04
,3E,7.11.2015 5:45,5:45:17,0:11:21,1.0 / 39.4,0:11:12
,9C,7.11.2015 6:03,6:03:15,0:17:58,1.6 / 41.0,0:11:01
,5H,7.11.2015 6:14,6:14:15,0:11:00,1.7 / 42.7,0:06:22
,9E,7.11.2015 6:41,6:41:08,0:26:53,3.3 / 46.1,0:08:04
,2A,7.11.2015 6:51,6:51:49,0:10:41,0.8 / 46.8,0:14:02
,MAALI,7.11.2015 7:07,7:07:06,0:15:17,3.0 / 49.9,0:05:01
103 Team Sappion Veikot,7I,7.11.2015 0:09,0:09:57,0:09:57,1.1 / 1.1,0:08:51
,3J,7.11.2015 0:19,0:19:51,0:09:54,0.8 / 1.9,0:12:10
,5Q,7.11.2015 0:30,0:30:57,0:11:06,1.1 / 3.1,0:09:47
,9G,7.11.2015 0:40,0:40:16,0:09:19,0.8 / 3.9,0:11:42
,9H,7.11.2015 0:49,0:49:36,0:09:20,1.9 / 5.8,0:04:51
,3C,7.11.2015 0:54,0:54:07,0:04:31,0.9 / 6.7,0:05:07
,5S,7.11.2015 1:02,1:02:07,0:08:00,1.2 / 7.9,0:06:27
,7B,7.11.2015 1:10,1:10:29,0:08:22,2.2 / 10.1,0:03:47
,5A,7.11.2015 1:17,1:17:50,0:07:21,1.3 / 11.4,0:05:38
,5M,7.11.2015 1:26,1:26:05,0:08:15,2.5 / 13.9,0:03:17
,9A,7.11.2015 1:35,1:35:18,0:09:13,2.0 / 15.9,0:04:42
,5F,7.11.2015 1:42,1:42:28,0:07:10,1.3 / 17.1,0:05:41
,3B,7.11.2015 1:54,1:54:35,0:12:07,1.4 / 18.5,0:08:40
,9F,7.11.2015 2:01,2:01:46,0:07:11,1.5 / 20.1,0:04:40
,7D,7.11.2015 2:11,2:11:44,0:09:58,1.8 / 21.8,0:05:40
,5W,7.11.2015 2:17,2:17:41,0:05:57,1.6 / 23.5,0:03:37
,2E,7.11.2015 2:21,2:21:57,0:04:16,1.1 / 24.5,0:04:01
,5K,7.11.2015 2:36,2:36:15,0:14:18,0.9 / 25.5,0:15:12
,3L,7.11.2015 2:45,2:45:02,0:08:47,1.8 / 27.2,0:04:57
,3G,7.11.2015 2:50,2:50:45,0:05:43,0.7 / 28.0,0:07:56
,5D,7.11.2015 2:59,2:59:57,0:09:12,0.3 / 28.3,0:30:49
,2G,7.11.2015 3:03,3:03:37,0:03:40,0.5 / 28.7,0:07:40
,5O,7.11.2015 3:09,3:09:41,0:06:04,0.6 / 29.4,0:09:30
,5T,7.11.2015 3:16,3:16:23,0:06:42,0.7 / 30.1,0:09:04
,2C,7.11.2015 3:25,3:25:59,0:09:36,1.5 / 31.6,0:06:33
,3A,7.11.2015 3:31,3:31:01,0:05:02,0.8 / 32.4,0:06:26
,5N,7.11.2015 3:38,3:38:04,0:07:03,0.9 / 33.2,0:08:01
,3F,7.11.2015 3:42,3:42:15,0:04:11,0.8 / 34.1,0:05:04
,5H,7.11.2015 3:54,3:54:54,0:12:39,1.9 / 35.9,0:06:50
,9C,7.11.2015 4:01,4:01:32,0:06:38,1.7 / 37.6,0:03:50
,7C,7.11.2015 4:19,4:19:55,0:18:23,2.4 / 40.1,0:07:31
,2B,7.11.2015 4:23,4:23:57,0:04:02,0.5 / 40.6,0:07:32
,3M,7.11.2015 4:30,4:30:28,0:06:31,1.4 / 42.0,0:04:37
,9B,7.11.2015 4:38,4:38:52,0:08:24,0.9 / 43.0,0:08:57
,2H,7.11.2015 4:47,4:47:38,0:08:46,1.0 / 44.0,0:08:39
,5G,7.11.2015 5:03,5:03:29,0:15:51,2.1 / 46.1,0:07:35
,7L,7.11.2015 5:11,5:11:47,0:08:18,0.9 / 47.0,0:09:05
,3S,7.11.2015 5:23,5:23:41,0:11:54,1.7 / 48.6,0:07:10
,7E,7.11.2015 5:39,5:39:10,0:15:29,1.4 / 50.1,0:10:48
,7H,7.11.2015 5:55,5:55:41,0:16:31,2.5 / 52.5,0:06:43
,7M,7.11.2015 6:25,6:25:39,0:29:58,3.9 / 56.4,0:07:42
,5P,7.11.2015 6:39,6:39:03,0:13:24,1.3 / 57.7,0:09:58
,3N,7.11.2015 6:48,6:48:55,0:09:52,1.4 / 59.1,0:07:10
,2F,7.11.2015 7:01,7:01:24,0:12:29,1.5 / 60.6,0:08:25
,9E,7.11.2015 7:13,7:13:32,0:12:08,1.8 / 62.4,0:06:54
,3P,7.11.2015 7:26,7:26:04,0:12:32,1.8 / 64.2,0:06:56
,5V,7.11.2015 7:47,7:47:10,0:21:06,2.0 / 66.1,0:10:39
,MAALI,7.11.2015 7:56,7:56:28,0:09:18,1.4 / 67.6,0:06:33
106 Sara,03 TESTI3,7.11.2015 0:05,0:05:06,0:05:06,0.0 / 0.0,1:57:34
,03 TESTI1,7.11.2015 0:05,0:05:44,0:00:38,0.0 / 0.1,0:14:32
,03 TESTI2,7.11.2015 0:06,0:06:17,0:00:33,0.0 / 0.1,0:32:59
,9E,7.11.2015 0:29,0:29:49,0:23:32,2.9 / 3.0,0:08:11
,2A,7.11.2015 0:39,0:39:34,0:09:45,0.8 / 3.7,0:12:49
,5B,7.11.2015 1:14,1:14:53,0:35:19,1.7 / 5.4,0:21:05
,5P,7.11.2015 1:35,1:35:24,0:20:31,2.1 / 7.5,0:09:56
,3N,7.11.2015 1:50,1:50:02,0:14:38,1.4 / 8.8,0:10:38
,7H,7.11.2015 2:16,2:16:09,0:26:07,3.2 / 12.1,0:08:04
,5C,7.11.2015 2:51,2:51:49,0:35:40,2.5 / 14.6,0:14:10
,7E,7.11.2015 3:04,3:04:55,0:13:06,1.5 / 16.1,0:08:38
,3S,7.11.2015 3:19,3:19:15,0:14:20,1.4 / 17.5,0:10:00
,7L,7.11.2015 3:39,3:39:17,0:20:02,1.7 / 19.2,0:12:05
,5G,7.11.2015 3:48,3:48:18,0:09:01,0.9 / 20.1,0:09:52
,3O,7.11.2015 4:27,4:27:46,0:39:28,2.3 / 22.4,0:17:30
,9B,7.11.2015 4:47,4:47:58,0:20:12,1.2 / 23.6,0:16:17
,3M,7.11.2015 4:58,4:58:51,0:10:53,0.9 / 24.6,0:11:36
,2B,7.11.2015 5:14,5:14:37,0:15:46,1.4 / 26.0,0:11:10
,7C,7.11.2015 5:20,5:20:43,0:06:06,0.5 / 26.5,0:11:24
,5N,7.11.2015 5:30,5:30:24,0:09:41,1.9 / 28.3,0:05:14
,3A,7.11.2015 5:39,5:39:12,0:08:48,0.9 / 29.2,0:10:00
,2C,7.11.2015 5:46,5:46:32,0:07:20,0.8 / 30.0,0:09:23
,3F,7.11.2015 5:52,5:52:31,0:05:59,0.7 / 30.7,0:08:10
,5H,7.11.2015 6:04,6:04:28,0:11:57,1.9 / 32.6,0:06:27
,9C,7.11.2015 6:14,6:14:31,0:10:03,1.7 / 34.3,0:05:49
,2J,7.11.2015 6:40,6:40:50,0:26:19,3.9 / 38.2,0:06:42
,3R,7.11.2015 6:50,6:50:42,0:09:52,0.9 / 39.1,0:11:18
,5V,7.11.2015 6:59,6:59:44,0:09:02,0.9 / 40.0,0:10:31
,MAALI,7.11.2015 7:10,7:10:14,0:10:30,1.4 / 41.4,0:07:25
109 Hiiltomiehet 1,5V,7.11.2015 0:04,0:04:42,0:04:42,1.4 / 1.4,0:03:18
,3R,7.11.2015 0:16,0:16:00,0:11:18,0.9 / 2.3,0:13:10
,5S,7.11.2015 0:27,0:27:37,0:11:37,3.2 / 5.5,0:03:35
,7B,7.11.2015 0:35,0:35:38,0:08:01,2.2 / 7.7,0:03:38
,5A,7.11.2015 0:42,0:42:13,0:06:35,1.3 / 9.0,0:05:03
,3C,7.11.2015 0:49,0:49:21,0:07:08,1.5 / 10.5,0:04:43
