name,visits,our
MAALI,228,
3F,164,13
5N,162,11
5V,153,16
5O,149,
7C,147,9
9C,141,3
2C,140,12
2G,140,
5D,139,
9H,133,
3G,132,
5H,128,
7I,128,
3L,127,
5A,123,
9E,121,1
5S,120,
3C,119,
3R,119,15
5T,119,
7B,112,
5W,110,
7D,108,
9A,108,
2E,107,
5M,106,
9F,106,
9G,105,
2B,103,10
5Q,102,
5F,101,
3A,97,
2J,96,14
9B,86,8
3J,82,
2A,75,
7H,65,
3P,64,
3M,63,
5K,61,
7E,61,5
5P,53,
3B,47,
5G,47,
7L,46,
3N,44,
3O,44,7
5B,43,
2H,34,
3E,34,4
3S,33,
3H,30,6
2K,28,
7J,27,
5C,26,
3K,23,
2F,20,2
5U,20,
7A,17,
03 TESTI3,15,
5J,14,
9D,14,
3Q,13,
2I,12,
2D,10,
7G,10,
03 TESTI2,9,
7M,8,
5L,5,
03 TESTI1,4,
REKISTERÖINTI,3,
3D,2,
5E,2,
5R,2,
7F,2,
7K,2,
3I,1,
5I,1,
lähtö,0,
