tiimi,rasti,kellonaika,kokonaisaika,rastiaika,km,hms_per_km
100 Hurmaavat Kimalaiset,5V,7.11.2015 0:18,0:18:56,0:18:56,1.4 / 1.4,0:13:19
,3R,7.11.2015 0:27,0:27:20,0:08:24,0.9 / 2.3,0:09:47
,2J,7.11.2015 0:38,0:38:35,0:11:15,0.9 / 3.2,0:12:53
,3F,7.11.2015 0:53,0:53:59,0:15:24,1.4 / 4.6,0:10:54
,5T,7.11.2015 1:12,1:12:04,0:18:05,1.8 / 6.3,0:10:15
,5O,7.11.2015 1:24,1:24:06,0:12:02,0.7 / 7.1,0:16:17
,3G,7.11.2015 1:40,1:40:12,0:16:06,1.3 / 8.4,0:12:08
,3L,7.11.2015 1:48,1:48:45,0:08:33,0.7 / 9.1,0:11:52
,5D,7.11.2015 2:14,2:14:29,0:25:44,1.0 / 10.1,0:26:14
,2G,7.11.2015 2:18,2:18:31,0:04:02,0.5 / 10.6,0:08:26
,3A,7.11.2015 2:35,2:35:36,0:17:05,1.6 / 12.2,0:10:30
,2C,7.11.2015 2:41,2:41:54,0:06:18,0.8 / 13.0,0:08:04
,5N,7.11.2015 2:49,2:49:03,0:07:09,0.8 / 13.8,0:09:13
,7C,7.11.2015 3:11,3:11:36,0:22:33,1.9 / 15.6,0:12:11
,5H,7.11.2015 3:30,3:30:36,0:19:00,1.6 / 17.2,0:11:44
,9C,7.11.2015 3:46,3:46:26,0:15:50,1.7 / 18.9,0:09:10
,3E,7.11.2015 4:38,4:38:48,0:52:22,1.6 / 20.6,0:32:09
,3H,7.11.2015 4:51,4:51:31,0:12:43,1.0 / 21.6,0:12:33
,7E,7.11.2015 5:14,5:14:23,0:22:52,2.2 / 23.8,0:10:19
,7H,7.11.2015 5:48,5:48:50,0:34:27,2.5 / 26.3,0:14:01
,2F,7.11.2015 6:24,6:24:02,0:35:12,2.7 / 28.9,0:13:14
,9E,7.11.2015 6:50,6:50:00,0:25:58,1.8 / 30.7,0:14:48
,MAALI,7.11.2015 7:12,7:12:02,0:22:02,2.9 / 33.5,0:07:40
101 Viimeiset pirkkalaiset,7I,7.11.2015 0:10,0:10:30,0:10:30,1.1 / 1.1,0:09:24
,3J,7.11.2015 0:28,0:28:40,0:18:10,0.8 / 1.9,0:22:11
,9G,7.11.2015 0:40,0:40:15,0:11:35,1.4 / 3.4,0:08:05
,5Q,7.11.2015 0:49,0:49:57,0:09:42,0.8 / 4.2,0:12:11
,9H,7.11.2015 1:07,1:07:45,0:17:48,1.4 / 5.6,0:12:32
,3C,7.11.2015 1:16,1:16:19,0:08:34,0.9 / 6.5,0:09:42
,5S,7.11.2015 1:28,1:28:29,0:12:10,1.2 / 7.7,0:09:49
,7B,7.11.2015 1:48,1:48:36,0:20:07,2.2 / 9.9,0:09:08
,5A,7.11.2015 2:01,2:01:46,0:13:10,1.3 / 11.2,0:10:06
,5M,7.11.2015 2:21,2:21:49,0:20:03,2.5 / 13.7,0:07:59
,9A,7.11.2015 2:42,2:42:47,0:20:58,2.0 / 15.7,0:10:43
,5F,7.11.2015 2:57,2:57:37,0:14:50,1.3 / 16.9,0:11:46
,3B,7.11.2015 3:13,3:13:03,0:15:26,1.4 / 18.3,0:11:02
,9F,7.11.2015 3:27,3:27:26,0:14:23,1.5 / 19.9,0:09:21
,7D,7.11.2015 3:43,3:43:08,0:15:42,1.8 / 21.6,0:08:56
,5W,7.11.2015 3:58,3:58:33,0:15:25,1.6 / 23.3,0:09:23
,2E,7.11.2015 4:07,4:07:29,0:08:56,1.1 / 24.3,0:08:26
,3L,7.11.2015 4:24,4:24:47,0:17:18,1.8 / 26.1,0:09:49
,3G,7.11.2015 4:34,4:34:57,0:10:10,0.7 / 26.8,0:14:07
,5D,7.11.2015 4:45,4:45:16,0:10:19,0.3 / 27.1,0:34:34
,2G,7.11.2015 4:49,4:49:42,0:04:26,0.5 / 27.6,0:09:16
,5O,7.11.2015 4:55,4:55:38,0:05:56,0.6 / 28.2,0:09:18
,5T,7.11.2015 5:09,5:09:39,0:14:01,0.7 / 28.9,0:18:58
,2C,7.11.2015 5:24,5:24:22,0:14:43,1.5 / 30.4,0:10:03
,3F,7.11.2015 5:32,5:32:08,0:07:46,0.7 / 31.1,0:10:36
,5N,7.11.2015 5:40,5:40:00,0:07:52,0.8 / 32.0,0:09:32
,2B,7.11.2015 5:52,5:52:37,0:12:37,1.5 / 33.4,0:08:33
,7C,7.11.2015 6:01,6:01:29,0:08:52,0.5 / 34.0,0:16:35
,9C,7.11.2015 6:27,6:27:57,0:26:28,2.4 / 36.4,0:10:49
,5H,7.11.2015 6:42,6:42:05,0:14:08,1.7 / 38.1,0:08:11
,2J,7.11.2015 7:04,7:04:00,0:21:55,2.3 / 40.5,0:09:22
,3R,7.11.2015 7:16,7:16:02,0:12:02,0.9 / 41.4,0:13:47
,5V,7.11.2015 7:25,7:25:34,0:09:32,0.9 / 42.2,0:11:10
,MAALI,7.11.2015 7:37,7:37:52,0:12:18,1.4 / 43.6,0:08:38
102 Raivojuoksijat,7I,7.11.2015 0:10,0:10:02,0:10:02,1.1 / 1.1,0:08:56
,3J,7.11.2015 0:19,0:19:22,0:09:20,0.8 / 1.9,0:11:28
,9G,7.11.2015 0:32,0:32:25,0:13:03,1.4 / 3.4,0:09:07
,5Q,7.11.2015 0:40,0:40:35,0:08:10,0.8 / 4.2,0:10:16
,9H,7.11.2015 0:56,0:56:07,0:15:32,1.4 / 5.6,0:10:56
,3C,7.11.2015 1:03,1:03:58,0:07:51,0.9 / 6.5,0:08:53
,5S,7.11.2015 1:13,1:13:44,0:09:46,1.2 / 7.7,0:07:52
,7B,7.11.2015 1:29,1:29:50,0:16:06,2.2 / 9.9,0:07:18
,5A,7.11.2015 1:42,1:42:45,0:12:55,1.3 / 11.2,0:09:55
,5M,7.11.2015 2:00,2:00:59,0:18:14,2.5 / 13.7,0:07:16
,9A,7.11.2015 2:19,2:19:28,0:18:29,2.0 / 15.7,0:09:27
,5F,7.11.2015 2:30,2:30:43,0:11:15,1.3 / 16.9,0:08:56
,3B,7.11.2015 2:43,2:43:43,0:13:00,1.4 / 18.3,0:09:18
,9F,7.11.2015 2:55,2:55:10,0:11:27,1.5 / 19.9,0:07:26
,7D,7.11.2015 3:08,3:08:26,0:13:16,1.8 / 21.6,0:07:33
,5W,7.11.2015 3:19,3:19:13,0:10:47,1.6 / 23.3,0:06:34
,2E,7.11.2015 3:28,3:28:31,0:09:18,1.1 / 24.3,0:08:47
,5K,7.11.2015 3:38,3:38:59,0:10:28,0.9 / 25.3,0:11:08
,3L,7.11.2015 3:55,3:55:47,0:16:48,1.8 / 27.0,0:09:28
,3G,7.11.2015 4:02,4:02:00,0:06:13,0.7 / 27.8,0:08:38
,5D,7.11.2015 4:09,4:09:24,0:07:24,0.3 / 28.0,0:24:47
,2G,7.11.2015 4:13,4:13:55,0:04:31,0.5 / 28.5,0:09:27
,5O,7.11.2015 4:19,4:19:15,0:05:20,0.6 / 29.2,0:08:21
,5T,7.11.2015 4:26,4:26:30,0:07:15,0.7 / 29.9,0:09:48
,2C,7.11.2015 4:39,4:39:34,0:13:04,1.5 / 31.4,0:08:55
,3A,7.11.2015 4:45,4:45:23,0:05:49,0.8 / 32.1,0:07:26
,5N,7.11.2015 4:52,4:52:28,0:07:05,0.9 / 33.0,0:08:03
,2B,7.11.2015 5:03,5:03:44,0:11:16,1.5 / 34.5,0:07:38
,7C,7.11.2015 5:08,5:08:06,0:04:22,0.5 / 35.0,0:08:10
,9B,7.11.2015 5:27,5:27:17,0:19:11,1.6 / 36.7,0:11:39
,3O,7.11.2015 5:39,5:39:33,0:12:16,1.2 / 37.9,0:09:53
,3H,7.11.2015 5:47,5:47:26,0:07:53,0.9 / 38.9,0:08:18
,7E,7.11.2015 6:05,6:05:01,0:17:35,2.2 / 41.1,0:07:56
,7H,7.11.2015 6:26,6:26:40,0:21:39,2.5 / 43.5,0:08:48
,9C,7.11.2015 6:51,6:51:04,0:24:24,3.3 / 46.8,0:07:29
,9E,7.11.2015 7:23,7:23:32,0:32:28,3.0 / 49.8,0:10:58
,MAALI,7.11.2015 7:42,7:42:21,0:18:49,2.9 / 52.6,0:06:33
104 Vanajaveden Ruutanat,5V,7.11.2015 0:14,0:14:00,0:14:00,1.4 / 1.4,0:09:49
,3R,7.11.2015 0:24,0:24:00,0:10:00,0.9 / 2.3,0:11:39
,5S,7.11.2015 0:54,0:54:00,0:30:00,3.2 / 5.5,0:09:15
,9H,7.11.2015 1:19,1:19:00,0:25:00,1.2 / 6.7,0:20:24
,3C,7.11.2015 1:27,1:27:00,0:08:00,0.9 / 7.6,0:09:03
,7B,7.11.2015 1:44,1:44:00,0:17:00,2.0 / 9.6,0:08:30
,5A,7.11.2015 1:58,1:58:00,0:14:00,1.3 / 10.9,0:10:45
,5M,7.11.2015 2:19,2:19:00,0:21:00,2.5 / 13.4,0:08:22
,9A,7.11.2015 2:42,2:42:00,0:23:00,2.0 / 15.4,0:11:45
,3K,7.11.2015 4:20,4:20:00,1:38:00,3.8 / 19.2,0:25:41
,9G,7.11.2015 5:13,5:13:00,0:53:00,4.4 / 23.6,0:11:56
,5Q,7.11.2015 5:35,5:35:00,0:22:00,0.8 / 24.4,0:27:39
,3J,7.11.2015 5:59,5:59:18,0:24:18,1.1 / 25.6,0:21:26
,7I,7.11.2015 6:23,6:23:28,0:24:10,0.8 / 26.4,0:29:31
,MAALI,7.11.2015 6:47,6:47:00,0:23:32,1.1 / 27.5,0:21:01
105 Kaukaa haettu,7I,7.11.2015 0:17,0:17:17,0:17:17,1.1 / 1.1,0:15:29
,3J,7.11.2015 0:32,0:32:35,0:15:18,0.8 / 1.9,0:18:41
,9G,7.11.2015 0:47,0:47:29,0:14:54,1.4 / 3.4,0:10:24
,5Q,7.11.2015 0:59,0:59:02,0:11:33,0.8 / 4.2,0:14:31
,9H,7.11.2015 1:17,1:17:58,0:18:56,1.4 / 5.6,0:13:20
,3C,7.11.2015 1:27,1:27:38,0:09:40,0.9 / 6.5,0:10:57
,5A,7.11.2015 1:42,1:42:25,0:14:47,1.5 / 8.0,0:09:47
,9A,7.11.2015 2:19,2:19:27,0:37:02,4.0 / 11.9,0:09:20
,5F,7.11.2015 2:34,2:34:27,0:15:00,1.3 / 13.2,0:11:54
,9F,7.11.2015 3:26,3:26:56,0:52:29,2.2 / 15.4,0:23:52
,7D,7.11.2015 3:44,3:44:34,0:17:38,1.8 / 17.1,0:10:02
,5W,7.11.2015 3:59,3:59:38,0:15:04,1.6 / 18.8,0:09:11
,2E,7.11.2015 4:12,4:12:04,0:12:26,1.1 / 19.8,0:11:44
,3L,7.11.2015 4:30,4:30:53,0:18:49,1.8 / 21.6,0:10:41
,3G,7.11.2015 4:41,4:41:54,0:11:01,0.7 / 22.3,0:15:18
,2G,7.11.2015 5:01,5:01:59,0:20:05,0.7 / 23.0,0:28:43
,5O,7.11.2015 5:08,5:08:16,0:06:17,0.6 / 23.7,0:09:51
,3F,7.11.2015 5:23,5:23:47,0:15:31,1.6 / 25.2,0:09:46
